Drug,Label,MolecularWeight,XLogP,HydrogenBondDonorCount,HydrogenBondAcceptorCount,PolarSurfaceArea,FormalCharge,NumRings,RotatableBondCount,Refractivity,LogpSolubility,Ro5,Ghose,Veber,ExAC_loss_frequency,target_betweenness,target_degree,number_targets,Blood,Skin,Brain,Testis,Adipose Tissue,Muscle,Nerve,Blood Vessel,Heart,Lung,Esophagus,Kidney,Thyroid,Pituitary,Uterus,Pancreas,VagiNaN,Stomach,AdreNaNl Gland,Colon,Prostate,Spleen,Liver,Fallopian Tube,Ovary,Breast,Bladder,Cervix Uteri,Small Intestine,Salivary Gland
Adapalene,passed,412.2038448,6.458501424,1,3,46.53,0,6,4,122.0719,4.01E-06,0,0,0,0.6,113800.6975,1014,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
AdiNaNzolam,passed,351.1250733,2.2407,0,4,46.31,0,4,3,112.308,0.0672,1,1,0,0.561151079,93335.03776,584,4,0.451645076,10,10,5.317652941,10,0.953707159,10,8.739851952,7.61603117,10,8.169617653,4.782308102,10,10,10,7.055880547,10,2.439117908,3.30552125,7.014136076,10,9.464316368,2.251888156,9.870306969,6.177269936,10,10,10,10,10
Afatinib,passed,485.1629956,3.758361295,2,7,88.61,0,4,8,131.3804,0.0128,1,0,0,0.492537313,1872057.686,756,0,0.984902084,10,3.127397776,10,10,5.51056385,10,10,10,10,10,10,10,7.817435503,10,10,10,10,8.129958153,10,10,4.876849413,10,10,10,10,10,10,10,10
Ajmaline,passed,326.1994281,1.850807787,2,4,46.94,0,6,1,92.5658,4.09,1,1,0,0.452054795,8902.616593,28,0,0.071714014,0.064219531,0.189979568,0.349734992,0.129683197,0.322331607,0.889758646,0.365260571,10,0.082691669,0.097945996,0.047628345,0.199620463,0.198032156,0.440079853,0.027336527,0.750107229,0.113658778,0.043610746,0.151147492,0.437374666,0.068283278,0.006281314,0.150463946,0.633529127,0.248194315,0.649750292,1.067426562,0.170568168,0.102510147
Albendazole,passed,265.0884974,3.204525031,2,3,67.01,0,2,5,73.0091,0.0228,1,1,0,0.25,152937.2834,312,1,10,10,10,10,10,4.28741312,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4.674216747,10,10,10,10,10,10,10
Alcaftadine,passed,307.1684623,2.171389332,0,3,38.13,0,4,1,102.8772,0.333,1,1,1,0.392156863,0,0,1,0.015715607,3.65049243,0.821691573,0.468008608,2.634119272,0.206760287,4.439896584,3.860967875,0.27770406,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.125068769,2.750898838,0.407100767,0.26927653,2.138170123,1.168346405,0.453772113,0.050176028,2.241176188,1.707205772,2.094831586,2.018864393,2.547428608,1.58886683,0.826448143
Alclometasone,passed,408.1703517,1.68378981,3,5,94.83,0,4,2,107.6084,0.137,1,1,0,0.350282486,256392.7478,268,1,6.519165516,9.529127598,5.496713638,4.095000267,10,10,10,9.420459747,4.368388176,9.541958809,6.618411541,2.70279932,8.644962311,8.877725124,6.923449516,2.976455688,7.945681095,4.709535599,3.025994658,3.700628638,6.544697762,5.595084667,4.75985527,6.586448193,5.095907211,10,6.734411716,7.282115936,5.538618088,5.745376587
AlendroNaNte,passed,249.0167248,-4.190998027,6,8,161.31,0,0,5,47.3738,16.9,0,0,0,0.509202454,47398.8307,164,3,10,10,10,10,10,8.135070801,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Alimemazine,passed,298.1503694,4.410279125,0,2,6.48,0,3,4,93.3679,0.00835,1,1,1,0.392156863,0,0,0,0.015715607,3.65049243,0.821691573,0.468008608,2.634119272,0.206760287,4.439896584,3.860967875,0.27770406,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.125068769,2.750898838,0.407100767,0.26927653,2.138170123,1.168346405,0.453772113,0.050176028,2.241176188,1.707205772,2.094831586,2.018864393,2.547428608,1.58886683,0.826448143
Alizapride,passed,315.1695249,1.119099387,2,5,83.14,0,3,6,89.2115,0.495,1,1,0,0.394230769,39011.46581,40,8,0.007850518,0.067573931,0.828758955,0.774569303,0.092959851,0.120648146,1.243043959,0.056307014,0.017448997,0.036263946,0.107775331,0.045956014,0.023290447,10,0.304680526,0.043005444,0.258125238,0.038619764,0.056782762,0.101115141,0.390641883,0.013159642,0.0053665,0.249922402,0.076274909,0.688240379,0.085495941,0.191675231,0.111094236,6.041281223
Allopurinol,passed,136.0385108,-1.758306378,2,5,65.85,0,2,0,54.2426,5.88,1,0,0,0.57956778,1212.453616,94,0,0,0.669732124,0.005950705,0.08844183,0.01601465,0.044998121,0.00556188,0,0.005239828,0.064951755,0.028378675,0.137945771,0.14257253,0.968810678,0.007367652,0.165462002,0.552611992,0.084812939,0,5.334463596,0.747966528,0,10,0.043951889,0.004405306,0.569276929,1.207845569,0.031312361,10,2.175070047
Allylestrenol,passed,300.2453156,4.828528499,1,1,20.23,0,4,2,93.1439,0.000558,1,1,1,0.591111111,1307522.364,656,1,0.058904357,0.226209901,0.18730858,1.198394299,0.941250026,0.241446048,0.752880543,4.112647057,1.349327683,0.831195831,0.698457599,0.335101813,0.930546701,2.723376274,10,0.155825898,10,0.26854822,0.940205961,0.65966481,2.13158083,0.633367896,1.937414885,10,6.273174286,2.848439336,1.470778465,10,0.310325801,0.372481614
Almitrine,passed,477.2452504,6.049426599,2,7,69.21,0,4,10,140.8795,0.0144,0,0,0,0.352112676,55774.75576,602,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Alogliptin,passed,339.1695249,1.155640152,1,5,93.67,0,3,3,104.2632,0.58,1,1,0,NaN,11668.31237,32,3,1.253376961,6.949012756,0.075143896,0.647781372,5.808351517,0.353051901,3.302512765,0.214750335,1.181527734,5.317162514,0.53790915,10,0.68171832,0.086823549,0.961601138,0.754391193,1.033184141,0.664976537,1.94280839,3.003344297,10,4.385354996,3.580456018,0.79557851,1.510428429,4.643785715,0.41001752,2.670410633,10,1.43121016
Alprazolam,failed,308.0828741,2.3741,0,3,43.07,0,4,1,98.879,0.0324,1,1,0,0.52991453,8267.844533,28,16,0.039836101,10,10,5.317652941,10,0.953707159,10,8.739851952,7.61603117,10,8.169617653,4.782308102,10,10,10,7.055880547,10,2.439117908,3.30552125,7.014136076,10,9.464316368,2.251888156,9.870306969,6.177269936,10,10,10,10,10
Alprenolol,passed,249.172879,2.692789906,2,3,41.49,0,1,8,74.6628,0.188,1,1,0,0.457627119,89139.86205,74,0,2.362123251,5.376092196,2.66193819,0.497891709,10,2.873353481,3.394628048,1.309535742,9.283231735,10,4.539180279,0.481972918,1.276782393,0.25021486,1.989638507,0.38595745,8.287089109,2.476612806,0.441770941,1.402355075,4.420117378,6.518067122,2.618736982,2.319842935,0.295605153,10,2.251211882,3.500741482,2.735410929,5.831739426
Alverine,passed,281.2143499,5.462383395,0,1,3.24,0,2,9,92.6739,0.00096,0,1,1,NaN,29748.11048,18,1,0,0,0.206429541,0.025740404,0,0,0,0,0,0,0,0,0,0.007801815,0,0,0,0,0,0,0,0,0,0,0.079501741,0,0,0,0,0
Alvimopan,passed,424.2362075,0.822153591,3,5,89.87,0,3,8,120.5593,0.00834,1,1,0,0.671052632,11098.77277,40,1,0,0,0.877372146,1.151926756,0.056483328,0.004911471,0,0.014569706,0.020022709,0.008182709,0,0,0.021385686,0.058915323,0,0,0,0.00690076,0,0.012455107,0.144849747,0.007657937,0,0.00252236,0.007879369,0.009061456,0.007494734,0,0.005416076,0.01454381
Amantadine,passed,151.1360995,1.465947548,1,1,26.02,0,3,0,45.5356,0.0846,1,0,1,0.405660377,39011.46581,40,1,0.079962492,0.079842355,0.828758955,0.774569303,0.096889682,0.120648146,1.243043959,0.097507045,0.11508254,0.115674086,0.107775331,0.063367238,0.118163206,10,0.304680526,0.056413408,0.258125238,0.072938152,0.074912652,0.193283975,0.390641883,0.294659451,0.097741999,0.249922402,0.114592835,0.688240379,0.097830221,0.191675231,0.176275283,6.041281223
Ambenonium,passed,536.268482,-3.633401448,2,2,58.2,2,2,15,173.571,9.42E-07,0,0,0,NaN,51784.02287,20,1,0.732271254,0.21135363,10,3.61620748,0.461096585,7.819921017,0.36488162,0.302383691,0.525769651,1.525265336,0.886162221,1.865379155,0.76601088,5.354573965,2.243912697,1.134945989,1.186487257,0.504009545,0.459137335,3.539183021,4.219288111,2.052807093,0.928801149,1.689638317,2.201324463,0.871683776,0.510498822,1.51731658,4.156428337,3.473966599
Amcinonide,passed,502.2366817,3.195263626,1,6,99.13,0,6,4,127.8767,0.00774,0,0,0,0.509090909,256392.7478,268,7,10,10,5.496713638,4.095000267,10,10,10,10,10,10,10,10,10,10,10,4.402533054,10,10,10,10,10,10,4.75985527,10,10,10,10,10,10,10
Amiloride,passed,229.0478856,-0.890369117,4,8,159.29,0,1,1,56.6884,1.22,1,0,0,0.464566929,44423.35692,86,1,7.833576679,10,7.071833611,10,10,2.095856905,5.644424438,9.272790909,6.348842144,10,6.62907505,10,10,10,9.858997345,10,10,10,10,10,10,10,2.52124536,7.530443192,8.279182434,10,10,9.685390472,10,10
Aminoglutethimide,passed,232.1211778,1.299544368,2,3,72.19,0,2,2,65.3543,0.371,1,1,0,0.550561798,57730.73457,74,6,0.070082411,0.907705665,0.722081065,10,0.816868365,0.506845772,1.575874746,0.145409122,0.280758083,0.344300002,0.91127187,0.234197848,0.529584706,0.812208951,1.091776729,0.096160695,0.489833191,0.363867253,10,0.26326023,0.624540597,2.829384089,0.600458115,1.001282692,10,1.049477696,0.271960258,0.619576275,0.312305033,0.275235802
Aminolevulinic Acid,passed,131.0582432,-3.252645453,2,4,80.39,0,0,4,30.4478,173,1,0,0,0.625,0,0,3,5.206231594,10,10,10,10,5.398955345,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.760636806,10,9.88961935,10,10,10,10,10,10
Aminophylline,passed,420.1981993,-0.769321657,1,3,69.3,0,4,1,44.9345,NaN,1,0,0,0.450920245,814810.1666,1730,1,2.101504326,6.678354502,10,10,5.346451759,3.55578804,6.199626684,10,10,5.467716217,8.53335762,3.807999611,5.576277256,7.084649563,7.494526148,3.816341639,6.249753237,5.442318916,6.578265905,10,5.260041952,5.44948554,1.968245029,7.04835248,7.204548836,6.223424911,6.575455189,7.249992847,5.373156071,6.528370857
Aminosalicylic Acid,passed,153.0425931,0.825075116,3,4,83.55,0,1,1,39.9955,11.8,1,0,0,0.470588235,129055.5274,332,0,10,2.578835249,2.373003244,2.487778306,7.726097584,2.839126825,7.756225109,3.616984844,2.016113043,10,5.409160137,3.61831975,2.98495698,2.137939095,3.46431756,7.973678112,4.123130202,4.810925007,4.294697523,6.330526352,8.391875267,10,1.987955868,6.584887266,2.517752647,8.607328892,10,4.356744289,10,8.457582474
Amitriptyline,passed,277.1830497,4.809534915,0,1,3.24,0,3,3,101.5072,0.0045,1,1,1,0.546511628,48542.27555,52,0,0.094247527,3.65049243,10,6.475295782,10,0.665258169,10,10,6.764817238,10,3.730516911,1.599675417,10,8.7144804,4.600313425,10,10,1.542994142,0.997452557,5.044525862,10,9.758530617,7.432229042,4.402866125,10,10,7.46541214,10,4.168484211,5.422550201
Amlodipine,passed,408.1451996,1.635595452,2,5,99.88,0,2,10,108.6381,0.0074,1,1,0,0.547368421,40315.9423,104,2,7.818352222,3.787968755,10,7.317743301,5.077531815,10,4.748858213,9.151669502,9.255744934,7.151607037,8.714754105,1.358874619,5.968213558,10,10,2.019290447,3.899184585,1.90829587,6.290830374,10,5.331341743,3.219331026,1.162402272,6.591258764,6.826233387,3.704107046,7.404961586,4.474459171,3.772177458,5.810112476
Amodiaquine,passed,355.14514,3.763005737,2,4,48.39,0,3,6,103.2911,0.0088,1,1,0,0.533333333,0,0,2,0.843073368,4.287334681,3.50714922,1.934059381,10,0.57057631,3.728786111,9.032031059,1.491732478,7.444482803,2.713268042,7.667547703,4.098428726,0.803695202,10,3.448380947,5.905151606,5.03767252,2.125679374,9.042061329,6.650966167,7.260246515,10,9.912412167,10,10,10,8.598267555,5.109484673,6.381236076
Amoxapine,passed,313.0981899,3.077554495,1,3,36.86,0,4,0,89.8164,0.171,1,1,1,0.516666667,47272.59785,40,14,0.084211901,2.741013765,10,5.416719437,10,0.255605459,8.159985542,2.602161646,1.22844255,10,1.236774921,1.251607716,6.017980099,10,4.600313425,10,10,0.91357851,0.997452557,5.044525862,10,9.758530617,7.432229042,2.941900253,10,10,5.551623821,10,4.168484211,6.041281223
Amrinone,passed,187.0745619,-0.568917207,2,3,68.01,0,2,1,53.8903,5.6,1,0,0,0.462068966,93129.16903,156,0,3.555044889,2.842225194,9.195447922,1.41492492,4.208213329,3.020252228,2.926797509,10,10,4.814595222,8.53335762,0.983746856,2.64648664,0.9141348,3.271642089,2.501477242,1.600161254,0.979296148,0.682130307,10,5.528390169,7.171571016,0.813544869,3.430782795,1.893414021,6.740929365,1.473438382,6.764108658,5.373156071,3.634882927
Amsacrine,passed,393.1147122,3.161621246,2,5,80.32,0,4,4,107.6901,0.00317,1,1,0,0.386986301,48947.977,80,23,0.832667291,2.898108959,5.897294044,10,0.338461637,0.073787987,1.126222193,0.205790728,10,1.15861547,4.427771568,0.476028413,0.299000293,10,10,0.717420101,3.186079144,2.797366619,0.894613415,7.741277933,6.674655676,2.296064854,0.154950224,5.589494944,2.130009413,0.389409646,5.346404076,1.860502481,4.323980331,1.425280571
Amyl Nitrite,passed,117.0789786,2.31256604,0,2,38.66,0,0,5,31.6786,3.97,1,0,1,0.47755102,26461.44941,572,2,0.082208402,2.472255707,0.556722105,1.858026922,10,1.727251649,10,10,6.314087391,10,8.807852745,10,10,3.787679791,10,2.244259119,7.426726103,4.383623123,7.423678398,4.930985928,3.534813643,2.345329762,1.368141949,10,10,10,8.743242264,8.883307457,8.051523209,4.776728153
ANaNgrelide,passed,254.9966173,1.94393082,1,3,44.7,0,3,0,63.2506,0.279,1,1,0,0.450920245,0,4,1,0.034576185,0.572021306,0.887049794,0.406083524,4.208213329,0.737409711,2.926797509,10,10,2.477012157,8.53335762,0.983746856,2.26611948,0.883544505,3.271642089,2.501477242,1.600161254,0.809387505,0.292873979,10,2.792771339,1.175578237,0.409120902,3.430782795,1.893414021,2.82677269,1.287837148,6.764108658,5.373156071,0.432287097
ANaNstrozole,failed,293.1640456,3.028454822,0,4,78.29,0,2,4,97.4729,0.0661,1,1,0,0.550561798,0,66,1,0.070082411,0.907705665,0.016590623,1.148689449,0.796528518,0.024717124,1.409634054,0.145409122,0.072587572,0.129790604,0.05226681,0.015733328,0.529584706,0.006669624,0.014433783,0.051579427,0.11473925,0.028199829,0.218458481,0.040929658,0.079872858,0.160719261,0.005248977,0.093483802,0.185384452,0.128867898,0.163199142,0.12671122,0.036112763,0.087733001
Anisindione,passed,252.0786443,2.723233999,0,3,43.37,0,3,2,71.6967,0.0128,1,1,0,0.484848485,1250.377766,14,19,1.587844968,5.009743452,3.465506315,3.788100958,4.943171024,3.208656549,4.785457373,3.783046007,3.196006298,7.563621998,4.059319019,6.356682301,7.208874464,5.472801685,5.465144396,5.756042957,5.302475929,4.906284809,6.416304111,4.074332476,5.636802673,4.07951498,10,5.316180944,5.202456474,5.411553621,5.572695255,6.248200417,4.265029907,6.128041267
Anisotropine Methylbromide,passed,361.1616419,-0.665853756,0,1,26.3,0,2,7,93.2643,9.67E-05,1,0,1,0.238410596,23664.94249,22,1,0.009068615,0.56154722,8.412851334,0.393198237,0.016020343,0,0.024624201,0.030865382,6.764817238,1.19683969,0.476170391,0.132184703,0.162137412,0.062270498,0.095536366,0.493829697,0.081816386,0.513489544,0.033154683,3.630660295,10,0.100604672,0.130754955,0.167142754,0.225144267,0.69010514,4.940295696,0.17120789,0.286769807,4.811089993
Antazoline,passed,265.1578976,2.876392188,1,3,27.63,0,3,5,82.8875,0.114,1,1,1,0.392156863,0,0,5,0.015715607,3.65049243,0.821691573,0.468008608,2.634119272,0.206760287,4.439896584,3.860967875,0.27770406,1.866600156,1.18233645,0.496618852,0.802930653,0.221367896,1.706133068,0.125068769,2.750898838,0.407100767,0.26927653,2.138170123,1.168346405,0.453772113,0.050176028,2.241176188,1.707205772,2.094831586,2.018864393,2.547428608,1.58886683,0.826448143
Antipyrine,passed,188.094963,1.218971844,0,2,23.55,0,2,1,56.4168,47.4,1,1,1,0.470588235,8170.888632,30,1,6.102405071,10,0.820853233,0.489034012,2.722895622,0.307841688,1.505134642,2.685022354,1.625647783,7.62326622,10,0.89997071,1.945427537,3.136099219,1.958506286,0.637826741,6.834624767,10,1.078719854,10,6.805960655,5.680968046,0.648787886,7.065508842,0.782274485,2.162109017,10,3.340286016,10,1.79864502
Antrafenine,passed,588.1959953,8.386884484,1,5,57.7,0,5,10,147.0059,0.00284,0,0,0,0.470588235,8170.888632,30,0,6.102405071,10,0.820853233,0.489034012,2.722895622,0.307841688,1.505134642,2.685022354,1.625647783,7.62326622,10,0.89997071,1.945427537,3.136099219,1.958506286,0.637826741,6.834624767,10,1.078719854,10,6.805960655,5.680968046,0.648787886,7.065508842,0.782274485,2.162109017,10,3.340286016,10,1.79864502
Apixaban,passed,459.1906543,1.827072246,1,5,110.76,0,5,5,126.901,0.0679,1,1,0,0.442477876,52277.99648,42,3,0.041266054,6.513112307,0.576623261,7.059941292,8.646006584,0.655209661,5.945252657,5.535628319,2.917945862,7.343301296,2.298494577,1.821846962,3.909117818,2.471651196,7.405332327,1.188558817,10,3.233883619,3.593228698,1.458304644,5.461385727,2.000967979,10,10,10,5.203394175,4.737819672,10,3.73644805,2.835001707
Apraclonidine,passed,244.0282518,1.65616275,3,4,62.44,0,2,1,63.7892,0.409,1,1,0,0.516666667,2815.517993,20,0,0.062373392,2.741013765,1.229638696,5.416719437,10,0.255605459,8.159985542,2.602161646,1.22844255,2.239341736,1.236774921,1.251607716,6.017980099,1.048812389,4.600313425,10,10,0.91357851,0.997452557,5.044525862,4.628032923,9.758530617,7.432229042,2.941900253,10,10,5.551623821,10,4.168484211,5.422550201
Aprindine,passed,322.240899,4.986299744,0,2,6.48,0,3,8,105.2157,0.00782,1,1,1,0.452054795,1274114.411,614,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Arbutamine,passed,317.1627082,1.995303225,5,5,92.95,0,2,8,89.7808,0.0842,1,1,0,0.525252525,89139.86205,74,2,2.362123251,5.376092196,2.66193819,0.497891709,10,2.873353481,3.394628048,1.309535742,9.283231735,10,4.539180279,0.481972918,1.276782393,0.25021486,1.989638507,0.38595745,8.287089109,2.476612806,0.441770941,1.402355075,4.420117378,6.518067122,2.618736982,3.241708636,8.882760048,10,3.807918549,3.500741482,2.735410929,5.831739426
Aripiprazole,failed,447.1480325,4.901243659,1,4,44.81,0,4,7,124.3364,0.00777,1,1,0,0.557692308,47272.59785,40,25,0.123829909,3.65049243,8.412851334,5.980387688,10,2.284672499,8.159985542,10,6.764817238,3.401805401,1.746618748,10,6.017980099,10,10,10,10,1.237327576,1.4302212,5.044525862,10,10,7.432229042,10,10,10,5.551623821,10,4.168484211,6.041281223
AseNaNpine,passed,401.1030005,3.724606574,0,1,12.47,0,4,2,81.6499,NaN,1,1,1,0.557692308,89139.86205,74,0,10,5.376092196,2.66193819,5.818140268,10,2.873353481,8.159985542,10,9.283231735,10,4.539180279,10,6.017980099,10,10,10,10,2.476612806,6.352208376,5.044525862,10,10,7.432229042,10,10,10,5.551623821,10,4.168484211,6.041281223
Atenolol,passed,266.1630426,0.425024848,3,4,84.58,0,1,8,73.5053,0.429,1,1,0,0.457627119,7444.691403,28,0,0.061153572,0.048267597,2.66193819,0.497891709,1.27212739,0.050163522,0.086390488,0.048335738,9.283231735,7.986379623,0.743740559,0.365240887,0.402712882,0.079889987,0.054107428,0.38595745,0.091566753,0.385029972,0.066269875,0.861847639,2.3559618,0.924754381,0.086499315,0.075516263,0.042985387,0.614705503,0.578674674,0.044032782,1.357345104,0.15696682
Atomoxetine,passed,255.1623143,3.808792451,1,2,21.26,0,2,6,79.435,0.0039,1,1,1,0.431952663,777.3190049,8,3,0.084211901,0.103767857,0.067612879,2.973424554,0.26832509,0.033454031,0.286698222,0.062439412,0.042957168,10,0.184468821,0.110948335,0.129352517,0.056317365,0.189510755,0.118998997,0.151783697,0.037012603,0.119057722,0.116031751,0.079251256,0.107961647,0.022387558,0.149731591,0.037824892,0.355366111,0.108225472,0.103928745,1.802167773,0.104218438
